stock,aligned_date,sentiment_vader_mean,sentiment_vader_std,sentiment_vader_count,sentiment_textblob_mean,sentiment_textblob_std,sentiment_category,Date,daily_return,next_day_return
AAPL,2020-06-10,0.2469,0.2884,4,0.0883,0.1105,Positive,2020-06-10,2.572770883945674,-4.801059551063924
AAPL,2020-06-11,0.1988,0.2293,6,0.1669,0.2346,Positive,2020-06-11,-4.801059551063924,0.8633341893901081
AMZN,2020-06-10,0.0778,0.6716,4,-0.0208,0.1382,Positive,2020-06-10,,
AMZN,2020-06-11,0.3912,0.2799,6,0.2048,0.2202,Positive,2020-06-11,,
GOOG,2020-06-05,0.0,,1,0.0,,Neutral,2020-06-05,,
GOOG,2020-06-08,-0.411,0.3636,3,-0.0519,0.0898,Negative,2020-06-08,,
GOOG,2020-06-09,0.5423,,1,0.1394,,Positive,2020-06-09,,
GOOG,2020-06-10,0.0,0.0,2,0.0667,0.0943,Neutral,2020-06-10,,
GOOG,2020-06-11,0.2958,0.3692,3,0.0111,0.0192,Positive,2020-06-11,,
NVDA,2020-06-01,0.4215,,1,0.0,,Positive,2020-06-01,,
NVDA,2020-06-03,0.2202,0.3114,2,0.25,0.3536,Positive,2020-06-03,,
NVDA,2020-06-09,0.1687,0.2921,3,0.0,0.0,Positive,2020-06-09,,
NVDA,2020-06-10,0.7296,,1,0.2625,,Positive,2020-06-10,,
NVDA,2020-06-11,0.2432,0.4212,3,0.0271,0.0469,Positive,2020-06-11,,
