Ticker,Signal,Count,Avg_Next_Return_%
AAPL,Golden_Cross,5,-0.7490666347012814
AAPL,Death_Cross,5,-2.772333382541725
AAPL,RSI_Oversold,68,-1.7243347040592178
AAPL,RSI_Overbought,574,0.8653351677564156
AAPL,MACD_Bullish,140,1.4938668240281288
AMZN,Golden_Cross,8,
AMZN,Death_Cross,8,
AMZN,RSI_Oversold,48,
AMZN,RSI_Overbought,339,
AMZN,MACD_Bullish,150,
GOOG,Golden_Cross,10,
GOOG,Death_Cross,10,
GOOG,RSI_Oversold,68,
GOOG,RSI_Overbought,387,
GOOG,MACD_Bullish,151,
META,Golden_Cross,6,
META,Death_Cross,6,
META,RSI_Oversold,76,
META,RSI_Overbought,235,
META,MACD_Bullish,121,
NVDA,Golden_Cross,6,
NVDA,Death_Cross,6,
NVDA,RSI_Oversold,74,
NVDA,RSI_Overbought,447,
NVDA,MACD_Bullish,154,
